driverId,week,hours-logged,miles-logged
952,5,78,2100
251,31,62,3000
899,2,51,700
300,21,76,3500
316,18,78,2100
68,28,64,3000
186,10,80,300
642,40,76,700
680,29,68,2400
377,24,61,1700
44,40,66,900
353,27,70,3100
470,11,63,2400
1001,31,70,3000
495,36,53,2100
969,23,80,2000
846,50,57,900
810,47,64,500
291,43,56,0
678,1,53,3500
782,18,57,1400
39,18,74,3200
274,3,50,1000
973,47,51,2300
910,6,73,2700
231,22,61,2000
358,28,72,1200
233,14,69,3100
81,43,59,1600
930,22,55,2500
382,44,71,1200
786,5,50,4000
470,41,72,300
714,33,51,1700
842,13,77,3200
541,4,76,4000
721,18,50,1000
743,12,57,100
802,36,76,400
197,51,65,600
389,21,71,3500
627,25,62,3200
963,23,66,600
722,27,54,3300
719,51,58,0
806,13,55,1100
112,7,59,3200
178,21,59,3700
157,3,54,3100
187,47,60,1600
751,13,66,3100
93,51,76,3200
240,27,70,0
674,4,56,2600
896,15,68,1400
485,7,58,900
243,34,69,3100
488,9,50,800
796,19,76,1400
234,33,73,2900
690,52,59,3300
884,39,77,1000
23,26,70,2200
308,49,66,0
654,51,50,3100
373,45,57,3400
446,5,59,1600
73,28,61,3300
504,28,60,100
408,1,68,100
657,52,79,3500
357,47,67,2200
654,25,71,2900
635,35,52,2300
307,20,77,1100
54,5,71,2200
749,51,56,3600
235,26,57,3100
320,6,78,3100
634,32,55,1000
932,39,78,1900
421,6,61,2300
895,13,56,400
671,38,69,0
303,7,64,900
335,32,59,2700
42,37,71,3000
446,17,75,1100
223,34,66,3000
518,1,68,2800
553,25,79,2100
1005,34,76,3100
747,4,65,1200
600,25,79,3100
912,50,61,2800
731,32,58,2800
522,39,65,1100
933,12,63,1900
655,43,59,2800
509,23,66,700
420,25,58,0
13,40,59,500
863,39,51,2500
478,27,50,1000
917,12,78,3500
951,13,69,3800
605,25,50,100
43,5,73,0
80,18,52,1300
316,50,75,700
232,8,78,1200
616,3,76,300
223,18,72,1100
441,36,63,3100
438,27,78,2100
176,38,61,1100
456,7,69,200
999,17,78,900
338,5,79,3000
673,48,57,1100
711,40,80,3300
28,23,64,500
740,8,77,3000
902,31,71,3500
674,34,78,2900
428,12,73,3500
405,15,79,1400
45,51,77,3300
735,18,73,3700
415,17,76,900
241,51,71,1000
478,13,63,100
458,18,62,1700
254,16,67,4000
213,27,66,900
767,5,61,1900
647,2,74,3100
942,32,78,4000
319,52,53,900
479,15,69,700
218,37,66,3300
762,12,69,2600
167,17,78,3100
925,44,58,3900
657,32,70,3600
164,3,54,2400
164,10,50,2600
102,16,62,1400
738,35,68,1700
722,19,77,2700
427,34,65,2100
904,38,73,3500
363,30,55,3100
477,44,60,1000
889,32,74,1400
602,42,62,1600
889,39,59,3400
24,2,66,2600
237,18,50,1000
722,36,61,3400
349,51,52,700
885,14,66,2600
585,14,50,3800
457,23,76,2900
160,43,75,600
662,22,78,900
59,20,51,2900
18,45,64,3900
782,24,51,1700
812,35,60,1200
28,38,66,1900
961,47,71,900
546,51,58,2300
534,25,51,1400
721,21,76,3400
158,7,59,1100
805,30,71,3100
759,52,64,0
888,8,50,0
858,9,74,3300
298,27,60,3900
599,39,79,1600
922,17,74,1600
387,5,62,2700
711,13,78,2100
154,50,77,3900
788,27,51,1700
775,41,55,1100
351,36,76,1700
941,48,62,400
117,28,62,500
157,50,64,1300
252,21,61,2300
1002,20,80,100
565,39,59,1000
234,12,50,500
621,49,64,2600
600,35,71,1100
734,27,66,1500
193,44,52,3200
545,4,53,2900
631,40,75,1600
968,2,68,3200
67,28,80,1100
349,18,56,1400
843,24,57,800
856,47,70,1600
231,13,51,600
531,33,62,3100
566,3,70,500
39,47,66,3400
103,14,65,1400
257,41,55,3700
804,42,52,3700
585,8,62,3600
777,25,71,1600
720,23,69,2300
185,28,75,500
268,25,73,2900
768,45,70,3800
1005,20,67,2500
335,28,66,3300
677,45,71,500
157,51,57,3100
622,38,58,2900
72,13,50,1400
975,11,80,2900
457,11,55,200
18,51,70,400
707,15,72,3400
613,39,65,1000
462,4,70,700
202,19,70,1400
244,15,56,3300
218,31,63,300
163,7,77,2900
22,38,68,1400
383,39,53,2300
478,12,65,1300
769,13,70,3000
358,12,74,2000
298,27,57,300
277,42,64,2000
671,46,71,2600
236,48,64,1800
393,36,52,3300
440,40,74,1900
423,50,58,200
1002,33,57,3500
357,42,76,900
946,37,69,2500
951,10,79,0
277,4,64,600
755,15,65,2400
333,3,76,2000
533,5,72,2800
595,37,74,700
655,30,51,200
269,36,78,0
883,49,77,1300
708,5,62,3300
67,3,70,2200
55,45,57,600
653,21,66,2800
418,1,70,1500
557,50,57,2300
343,42,54,3100
49,13,53,2000
319,24,62,1600
899,8,78,3900
723,32,58,3700
281,28,74,2300
351,33,70,2600
939,39,54,1600
784,12,74,4000
90,14,74,2800
716,29,57,3800
123,2,71,1700
741,33,70,100
875,40,58,1400
838,10,59,2000
343,44,61,1700
529,33,68,0
505,18,65,3800
773,30,60,2200
205,25,58,2000
591,35,66,300
199,2,71,2300
855,11,66,3100
843,2,68,2000
147,43,70,2500
517,15,60,1300
981,22,58,3500
99,7,53,3400
995,7,65,1000
954,51,61,3300
841,37,75,2000
333,33,57,2800
743,20,80,2100
308,39,79,500
227,52,62,1400
154,7,58,1500
661,21,51,2200
792,48,56,3600
84,14,57,2200
305,50,67,3900
979,2,74,300
200,27,51,1500
682,35,80,2700
777,14,79,2600
590,41,63,100
595,6,55,2500
619,24,53,2600
862,37,59,900
277,50,51,300
483,36,50,1000
675,8,55,3500
625,35,57,900
119,37,75,3300
646,21,51,600
107,26,63,3000
240,28,58,0
613,41,75,1900
665,47,63,3600
33,41,74,2800
470,28,71,2400
497,24,79,400
713,31,56,3500
253,26,71,2600
368,24,67,3300
139,14,63,1600
588,5,78,2000
900,36,71,500
947,23,53,900
341,28,59,1000
532,48,65,3400
1002,36,70,1000
614,21,53,600
470,12,51,200
920,48,78,500
303,31,52,400
781,38,58,1600
197,8,71,3600
946,32,57,700
433,43,78,2800
693,3,79,700
96,19,75,3300
148,23,57,3600
68,38,73,2900
219,30,51,800
792,42,64,700
521,41,79,3600
159,32,80,1500
91,8,51,1500
258,27,50,2700
31,8,56,3600
302,47,62,2200
646,43,70,1600
834,49,56,2100
904,17,58,1200
178,47,77,3500
538,29,69,2700
378,26,80,800
733,43,53,2400
695,24,76,2700
891,43,59,4000
436,21,59,0
448,35,61,3700
888,50,55,3700
158,10,73,2900
246,1,74,3400
91,25,52,3000
358,34,51,700
154,52,59,3900
369,13,68,1900
423,9,62,2100
917,19,80,200
186,14,80,2700
654,36,70,2600
163,6,66,300
21,8,66,1700
854,37,63,300
413,11,76,1400
208,21,58,1900
476,11,53,3400
938,46,59,700
817,7,72,1900
419,41,53,4000
101,10,58,2300
642,32,57,3000
42,43,71,2100
678,50,57,2100
91,30,57,1300
921,13,65,200
160,8,60,2200
742,51,71,3900
469,52,76,2100
485,6,72,3400
914,19,72,0
969,38,57,100
578,16,55,400
183,31,69,2300
797,28,59,3000
230,32,70,400
36,8,63,2700
924,46,79,4000
948,22,75,300
407,21,59,1700
240,36,56,2800
933,22,51,2100
687,40,58,1600
830,11,53,3800
750,43,51,400
408,8,80,3000
127,23,71,3900
632,35,65,1800
613,39,52,500
748,15,53,2300
115,13,68,700
280,30,63,1700
779,33,61,200
110,30,65,1400
208,31,61,3500
656,35,66,1800
929,26,66,700
681,12,64,3400
722,30,69,1300
94,34,75,600
302,16,70,100
773,16,79,1300
253,50,54,900
591,33,69,1700
317,24,67,3200
289,34,70,3200
137,37,80,800
737,44,57,3300
971,4,69,100
738,47,69,900
996,12,57,1800
91,47,64,1800
779,49,69,100
252,17,69,2700
813,52,77,400
930,1,75,2100
898,3,71,1100
751,30,80,2700
985,33,57,2400
125,22,68,2000
620,41,66,100
666,35,73,1700
491,14,62,0
421,5,56,500
523,3,51,3600
826,45,76,3500
364,10,75,400
402,52,77,1600
302,5,53,400
342,39,70,2500
131,9,67,3600
768,6,70,1000
788,48,64,200
501,21,76,3400
427,42,52,700
704,49,57,3600
789,52,65,3300
192,20,51,3200
855,18,75,1400
